benchmark,type,key,value
gemm,futil-sc,lut,582
gemm,futil-sc,dsp,9
gemm,futil-sc,registers,85
gemm,futil-sc,muxes,56
gemm,futil-sc,clb_registers,682
gemm,futil-sc,carry8,10
gemm,futil-sc,f7_muxes,0
gemm,futil-sc,f8_muxes,0
gemm,futil-sc,f9_muxes,0
gemm,futil-sc,clb,1274
gemm,futil-sc,meet_timing,1
gemm,futil-sc,worst_slack,3.449
gemm,futil-sc,period,7.0
gemm,futil-sc,frequency,142.857
gemm,futil-sc,uram,-1
gemm,futil-sc,cell_lut1,10
gemm,futil-sc,cell_lut2,149
gemm,futil-sc,cell_lut3,42
gemm,futil-sc,cell_lut4,48
gemm,futil-sc,cell_lut5,150
gemm,futil-sc,cell_lut6,188
gemm,futil-sc,cell_fdre,682
trmm,futil-sc,lut,253
trmm,futil-sc,dsp,6
trmm,futil-sc,registers,46
trmm,futil-sc,muxes,25
trmm,futil-sc,clb_registers,295
trmm,futil-sc,carry8,8
trmm,futil-sc,f7_muxes,0
trmm,futil-sc,f8_muxes,0
trmm,futil-sc,f9_muxes,0
trmm,futil-sc,clb,556
trmm,futil-sc,meet_timing,1
trmm,futil-sc,worst_slack,3.599
trmm,futil-sc,period,7.0
trmm,futil-sc,frequency,142.857
trmm,futil-sc,uram,-1
trmm,futil-sc,cell_lut1,-1
trmm,futil-sc,cell_lut2,196
trmm,futil-sc,cell_lut3,14
trmm,futil-sc,cell_lut4,42
trmm,futil-sc,cell_lut5,26
trmm,futil-sc,cell_lut6,58
trmm,futil-sc,cell_fdre,295
3mm,futil-sc,lut,558
3mm,futil-sc,dsp,9
3mm,futil-sc,registers,85
3mm,futil-sc,muxes,62
3mm,futil-sc,clb_registers,642
3mm,futil-sc,carry8,18
3mm,futil-sc,f7_muxes,0
3mm,futil-sc,f8_muxes,0
3mm,futil-sc,f9_muxes,0
3mm,futil-sc,clb,1218
3mm,futil-sc,meet_timing,1
3mm,futil-sc,worst_slack,3.497
3mm,futil-sc,period,7.0
3mm,futil-sc,frequency,142.857
3mm,futil-sc,uram,-1
3mm,futil-sc,cell_lut1,16
3mm,futil-sc,cell_lut2,272
3mm,futil-sc,cell_lut3,48
3mm,futil-sc,cell_lut4,53
3mm,futil-sc,cell_lut5,244
3mm,futil-sc,cell_lut6,78
3mm,futil-sc,cell_fdre,642
mvt,futil-sc,lut,531
mvt,futil-sc,dsp,6
mvt,futil-sc,registers,90
mvt,futil-sc,muxes,55
mvt,futil-sc,clb_registers,815
mvt,futil-sc,carry8,12
mvt,futil-sc,f7_muxes,0
mvt,futil-sc,f8_muxes,0
mvt,futil-sc,f9_muxes,0
mvt,futil-sc,clb,1358
mvt,futil-sc,meet_timing,1
mvt,futil-sc,worst_slack,3.834
mvt,futil-sc,period,7.0
mvt,futil-sc,frequency,142.857
mvt,futil-sc,uram,-1
mvt,futil-sc,cell_lut1,12
mvt,futil-sc,cell_lut2,151
mvt,futil-sc,cell_lut3,99
mvt,futil-sc,cell_lut4,46
mvt,futil-sc,cell_lut5,213
mvt,futil-sc,cell_lut6,47
mvt,futil-sc,cell_fdre,815
lu,futil-sc,lut,488
lu,futil-sc,dsp,6
lu,futil-sc,registers,66
lu,futil-sc,muxes,37
lu,futil-sc,clb_registers,620
lu,futil-sc,carry8,20
lu,futil-sc,f7_muxes,0
lu,futil-sc,f8_muxes,0
lu,futil-sc,f9_muxes,0
lu,futil-sc,clb,1128
lu,futil-sc,meet_timing,1
lu,futil-sc,worst_slack,3.907
lu,futil-sc,period,7.0
lu,futil-sc,frequency,142.857
lu,futil-sc,uram,-1
lu,futil-sc,cell_lut1,2
lu,futil-sc,cell_lut2,351
lu,futil-sc,cell_lut3,39
lu,futil-sc,cell_lut4,96
lu,futil-sc,cell_lut5,34
lu,futil-sc,cell_lut6,138
lu,futil-sc,cell_fdre,619
doitgen,futil-sc,lut,285
doitgen,futil-sc,dsp,3
doitgen,futil-sc,registers,41
doitgen,futil-sc,muxes,32
doitgen,futil-sc,clb_registers,281
doitgen,futil-sc,carry8,8
doitgen,futil-sc,f7_muxes,0
doitgen,futil-sc,f8_muxes,0
doitgen,futil-sc,f9_muxes,0
doitgen,futil-sc,clb,574
doitgen,futil-sc,meet_timing,1
doitgen,futil-sc,worst_slack,3.908
doitgen,futil-sc,period,7.0
doitgen,futil-sc,frequency,142.857
doitgen,futil-sc,uram,-1
doitgen,futil-sc,cell_lut1,7
doitgen,futil-sc,cell_lut2,109
doitgen,futil-sc,cell_lut3,42
doitgen,futil-sc,cell_lut4,32
doitgen,futil-sc,cell_lut5,120
doitgen,futil-sc,cell_lut6,47
doitgen,futil-sc,cell_fdre,281
syrk,futil-sc,lut,527
syrk,futil-sc,dsp,9
syrk,futil-sc,registers,75
syrk,futil-sc,muxes,49
syrk,futil-sc,clb_registers,532
syrk,futil-sc,carry8,10
syrk,futil-sc,f7_muxes,0
syrk,futil-sc,f8_muxes,0
syrk,futil-sc,f9_muxes,0
syrk,futil-sc,clb,1069
syrk,futil-sc,meet_timing,1
syrk,futil-sc,worst_slack,2.914
syrk,futil-sc,period,7.0
syrk,futil-sc,frequency,142.857
syrk,futil-sc,uram,-1
syrk,futil-sc,cell_lut1,1
syrk,futil-sc,cell_lut2,224
syrk,futil-sc,cell_lut3,36
syrk,futil-sc,cell_lut4,91
syrk,futil-sc,cell_lut5,127
syrk,futil-sc,cell_lut6,128
syrk,futil-sc,cell_fdre,532
ludcmp,futil-sc,lut,1223
ludcmp,futil-sc,dsp,12
ludcmp,futil-sc,registers,126
ludcmp,futil-sc,muxes,81
ludcmp,futil-sc,clb_registers,1211
ludcmp,futil-sc,carry8,44
ludcmp,futil-sc,f7_muxes,0
ludcmp,futil-sc,f8_muxes,0
ludcmp,futil-sc,f9_muxes,0
ludcmp,futil-sc,clb,2478
ludcmp,futil-sc,meet_timing,1
ludcmp,futil-sc,worst_slack,3.787
ludcmp,futil-sc,period,7.0
ludcmp,futil-sc,frequency,142.857
ludcmp,futil-sc,uram,-1
ludcmp,futil-sc,cell_lut1,4
ludcmp,futil-sc,cell_lut2,495
ludcmp,futil-sc,cell_lut3,214
ludcmp,futil-sc,cell_lut4,245
ludcmp,futil-sc,cell_lut5,99
ludcmp,futil-sc,cell_lut6,486
ludcmp,futil-sc,cell_fdre,1209
durbin,futil-sc,lut,931
durbin,futil-sc,dsp,12
durbin,futil-sc,registers,86
durbin,futil-sc,muxes,45
durbin,futil-sc,clb_registers,787
durbin,futil-sc,carry8,42
durbin,futil-sc,f7_muxes,0
durbin,futil-sc,f8_muxes,0
durbin,futil-sc,f9_muxes,0
durbin,futil-sc,clb,1760
durbin,futil-sc,meet_timing,1
durbin,futil-sc,worst_slack,3.431
durbin,futil-sc,period,7.0
durbin,futil-sc,frequency,142.857
durbin,futil-sc,uram,-1
durbin,futil-sc,cell_lut1,97
durbin,futil-sc,cell_lut2,310
durbin,futil-sc,cell_lut3,39
durbin,futil-sc,cell_lut4,176
durbin,futil-sc,cell_lut5,63
durbin,futil-sc,cell_lut6,376
durbin,futil-sc,cell_fdre,786
symm,futil-sc,lut,742
symm,futil-sc,dsp,21
symm,futil-sc,registers,95
symm,futil-sc,muxes,46
symm,futil-sc,clb_registers,765
symm,futil-sc,carry8,30
symm,futil-sc,f7_muxes,0
symm,futil-sc,f8_muxes,0
symm,futil-sc,f9_muxes,0
symm,futil-sc,clb,1537
symm,futil-sc,meet_timing,1
symm,futil-sc,worst_slack,3.452
symm,futil-sc,period,7.0
symm,futil-sc,frequency,142.857
symm,futil-sc,uram,-1
symm,futil-sc,cell_lut1,-1
symm,futil-sc,cell_lut2,245
symm,futil-sc,cell_lut3,170
symm,futil-sc,cell_lut4,44
symm,futil-sc,cell_lut5,195
symm,futil-sc,cell_lut6,210
