benchmark,type,key,value
3mm,futil-sc,latency,8481
atax,futil-sc,latency,1633
bicg,futil-sc,latency,801
cholesky,futil-sc,latency,2751
doitgen,futil-sc,latency,35985
durbin,futil-sc,latency,943
gemm,futil-sc,latency,7601
gemver,futil-sc,latency,2738
gesummv,futil-sc,latency,1929
gramschmidt,futil-sc,latency,15186
ludcmp,futil-sc,latency,4408
lu,futil-sc,latency,3560
mvt,futil-sc,latency,1377
symm,futil-sc,latency,7700
syr2k,futil-sc,latency,11046
syrk,futil-sc,latency,10662
trisolv,futil-sc,latency,413
trmm,futil-sc,latency,4964
2mm,futil-sc,latency,12481
