benchmark,type,key,value
3mm,futil-sc-sh,latency,8481
atax,futil-sc-sh,latency,1633
bicg,futil-sc-sh,latency,801
cholesky,futil-sc-sh,latency,2751
doitgen,futil-sc-sh,latency,35985
durbin,futil-sc-sh,latency,943
gemm,futil-sc-sh,latency,7601
gemver,futil-sc-sh,latency,2738
gesummv,futil-sc-sh,latency,1929
gramschmidt,futil-sc-sh,latency,15186
lu,futil-sc-sh,latency,3560
ludcmp,futil-sc-sh,latency,4408
mvt,futil-sc-sh,latency,1377
symm,futil-sc-sh,latency,7700
syr2k,futil-sc-sh,latency,11046
syrk,futil-sc-sh,latency,10662
trisolv,futil-sc-sh,latency,413
trmm,futil-sc-sh,latency,4964
2mm,futil-sc-sh,latency,12481
