benchmark,type,key,value
3mm,futil-sc-sh,lut,583
3mm,futil-sc-sh,dsp,6
3mm,futil-sc-sh,registers,60
3mm,futil-sc-sh,muxes,63
3mm,futil-sc-sh,clb_registers,333
3mm,futil-sc-sh,carry8,12
3mm,futil-sc-sh,f7_muxes,0
3mm,futil-sc-sh,f8_muxes,0
3mm,futil-sc-sh,f9_muxes,0
3mm,futil-sc-sh,clb,928
3mm,futil-sc-sh,meet_timing,1
3mm,futil-sc-sh,worst_slack,3.326
3mm,futil-sc-sh,period,7.0
3mm,futil-sc-sh,frequency,142.857
3mm,futil-sc-sh,uram,-1
3mm,futil-sc-sh,cell_lut1,14
3mm,futil-sc-sh,cell_lut2,186
3mm,futil-sc-sh,cell_lut3,112
3mm,futil-sc-sh,cell_lut4,63
3mm,futil-sc-sh,cell_lut5,246
3mm,futil-sc-sh,cell_lut6,150
3mm,futil-sc-sh,cell_fdre,333
atax,futil-sc-sh,lut,484
atax,futil-sc-sh,dsp,3
atax,futil-sc-sh,registers,49
atax,futil-sc-sh,muxes,46
atax,futil-sc-sh,clb_registers,339
atax,futil-sc-sh,carry8,6
atax,futil-sc-sh,f7_muxes,0
atax,futil-sc-sh,f8_muxes,0
atax,futil-sc-sh,f9_muxes,0
atax,futil-sc-sh,clb,829
atax,futil-sc-sh,meet_timing,1
atax,futil-sc-sh,worst_slack,3.655
atax,futil-sc-sh,period,7.0
atax,futil-sc-sh,frequency,142.857
atax,futil-sc-sh,uram,-1
atax,futil-sc-sh,cell_lut1,4
atax,futil-sc-sh,cell_lut2,98
atax,futil-sc-sh,cell_lut3,111
atax,futil-sc-sh,cell_lut4,136
atax,futil-sc-sh,cell_lut5,87
atax,futil-sc-sh,cell_lut6,111
atax,futil-sc-sh,cell_fdre,339
bicg,futil-sc-sh,lut,251
bicg,futil-sc-sh,dsp,3
bicg,futil-sc-sh,registers,31
bicg,futil-sc-sh,muxes,27
bicg,futil-sc-sh,clb_registers,213
bicg,futil-sc-sh,carry8,8
bicg,futil-sc-sh,f7_muxes,0
bicg,futil-sc-sh,f8_muxes,0
bicg,futil-sc-sh,f9_muxes,0
bicg,futil-sc-sh,clb,472
bicg,futil-sc-sh,meet_timing,1
bicg,futil-sc-sh,worst_slack,3.958
bicg,futil-sc-sh,period,7.0
bicg,futil-sc-sh,frequency,142.857
bicg,futil-sc-sh,uram,-1
bicg,futil-sc-sh,cell_lut1,2
bicg,futil-sc-sh,cell_lut2,66
bicg,futil-sc-sh,cell_lut3,74
bicg,futil-sc-sh,cell_lut4,51
bicg,futil-sc-sh,cell_lut5,122
bicg,futil-sc-sh,cell_lut6,55
bicg,futil-sc-sh,cell_fdre,213
cholesky,futil-sc-sh,lut,521
cholesky,futil-sc-sh,dsp,3
cholesky,futil-sc-sh,registers,44
cholesky,futil-sc-sh,muxes,45
cholesky,futil-sc-sh,clb_registers,473
cholesky,futil-sc-sh,carry8,21
cholesky,futil-sc-sh,f7_muxes,0
cholesky,futil-sc-sh,f8_muxes,0
cholesky,futil-sc-sh,f9_muxes,0
cholesky,futil-sc-sh,clb,1015
cholesky,futil-sc-sh,meet_timing,1
cholesky,futil-sc-sh,worst_slack,4.107
cholesky,futil-sc-sh,period,7.0
cholesky,futil-sc-sh,frequency,142.857
cholesky,futil-sc-sh,uram,-1
cholesky,futil-sc-sh,cell_lut1,7
cholesky,futil-sc-sh,cell_lut2,204
cholesky,futil-sc-sh,cell_lut3,168
cholesky,futil-sc-sh,cell_lut4,171
cholesky,futil-sc-sh,cell_lut5,77
cholesky,futil-sc-sh,cell_lut6,90
cholesky,futil-sc-sh,cell_fdre,472
doitgen,futil-sc-sh,lut,336
doitgen,futil-sc-sh,dsp,3
doitgen,futil-sc-sh,registers,35
doitgen,futil-sc-sh,muxes,32
doitgen,futil-sc-sh,clb_registers,185
doitgen,futil-sc-sh,carry8,8
doitgen,futil-sc-sh,f7_muxes,0
doitgen,futil-sc-sh,f8_muxes,0
doitgen,futil-sc-sh,f9_muxes,0
doitgen,futil-sc-sh,clb,529
doitgen,futil-sc-sh,meet_timing,1
doitgen,futil-sc-sh,worst_slack,3.597
doitgen,futil-sc-sh,period,7.0
