benchmark,type,key,value
3mm,futil-sh,latency,17523
atax,futil-sh,latency,1971
bicg,futil-sh,latency,1002
cholesky,futil-sh,latency,2751
doitgen,futil-sh,latency,48849
durbin,futil-sh,latency,944
gemm,futil-sh,latency,9147
gemver,futil-sh,latency,3382
gesummv,futil-sh,latency,2051
gramschmidt,futil-sh,latency,18079
ludcmp,futil-sh,latency,4472
lu,futil-sh,latency,3560
mvt,futil-sh,latency,1764
symm,futil-sh,latency,10005
syr2k,futil-sh,latency,17911
syrk,futil-sh,latency,12691
trisolv,futil-sh,latency,493
trmm,futil-sh,latency,5828
2mm,futil-sh,latency,15812
