benchmark,type,key,value
3mm,futil-sh,lut,509
3mm,futil-sh,dsp,3
3mm,futil-sh,registers,37
3mm,futil-sh,muxes,42
3mm,futil-sh,clb_registers,172
3mm,futil-sh,carry8,6
3mm,futil-sh,f7_muxes,0
3mm,futil-sh,f8_muxes,0
3mm,futil-sh,f9_muxes,0
3mm,futil-sh,clb,687
3mm,futil-sh,meet_timing,1
3mm,futil-sh,worst_slack,3.212
3mm,futil-sh,period,7.0
3mm,futil-sh,frequency,142.857
3mm,futil-sh,uram,-1
3mm,futil-sh,cell_lut1,10
3mm,futil-sh,cell_lut2,271
3mm,futil-sh,cell_lut3,36
3mm,futil-sh,cell_lut4,58
3mm,futil-sh,cell_lut5,93
3mm,futil-sh,cell_lut6,214
3mm,futil-sh,cell_fdre,172
atax,futil-sh,lut,530
atax,futil-sh,dsp,3
atax,futil-sh,registers,39
atax,futil-sh,muxes,36
atax,futil-sh,clb_registers,261
atax,futil-sh,carry8,6
atax,futil-sh,f7_muxes,0
atax,futil-sh,f8_muxes,0
atax,futil-sh,f9_muxes,0
atax,futil-sh,clb,797
atax,futil-sh,meet_timing,1
atax,futil-sh,worst_slack,3.473
atax,futil-sh,period,7.0
atax,futil-sh,frequency,142.857
atax,futil-sh,uram,-1
atax,futil-sh,cell_lut1,6
atax,futil-sh,cell_lut2,73
atax,futil-sh,cell_lut3,88
atax,futil-sh,cell_lut4,68
atax,futil-sh,cell_lut5,71
atax,futil-sh,cell_lut6,274
atax,futil-sh,cell_fdre,261
bicg,futil-sh,lut,215
bicg,futil-sh,dsp,3
bicg,futil-sh,registers,29
bicg,futil-sh,muxes,24
bicg,futil-sh,clb_registers,208
bicg,futil-sh,carry8,8
bicg,futil-sh,f7_muxes,0
bicg,futil-sh,f8_muxes,0
bicg,futil-sh,f9_muxes,0
bicg,futil-sh,clb,431
bicg,futil-sh,meet_timing,1
bicg,futil-sh,worst_slack,4.17
bicg,futil-sh,period,7.0
bicg,futil-sh,frequency,142.857
bicg,futil-sh,uram,-1
bicg,futil-sh,cell_lut1,2
bicg,futil-sh,cell_lut2,85
bicg,futil-sh,cell_lut3,74
bicg,futil-sh,cell_lut4,104
bicg,futil-sh,cell_lut5,69
bicg,futil-sh,cell_lut6,34
bicg,futil-sh,cell_fdre,208
cholesky,futil-sh,lut,543
cholesky,futil-sh,dsp,3
cholesky,futil-sh,registers,50
cholesky,futil-sh,muxes,44
cholesky,futil-sh,clb_registers,476
cholesky,futil-sh,carry8,21
cholesky,futil-sh,f7_muxes,0
cholesky,futil-sh,f8_muxes,0
cholesky,futil-sh,f9_muxes,0
cholesky,futil-sh,clb,1040
cholesky,futil-sh,meet_timing,1
cholesky,futil-sh,worst_slack,3.933
cholesky,futil-sh,period,7.0
cholesky,futil-sh,frequency,142.857
cholesky,futil-sh,uram,-1
cholesky,futil-sh,cell_lut1,7
cholesky,futil-sh,cell_lut2,209
cholesky,futil-sh,cell_lut3,169
cholesky,futil-sh,cell_lut4,171
cholesky,futil-sh,cell_lut5,73
cholesky,futil-sh,cell_lut6,109
cholesky,futil-sh,cell_fdre,475
doitgen,futil-sh,lut,303
doitgen,futil-sh,dsp,3
doitgen,futil-sh,registers,31
doitgen,futil-sh,muxes,29
doitgen,futil-sh,clb_registers,150
doitgen,futil-sh,carry8,8
doitgen,futil-sh,f7_muxes,0
doitgen,futil-sh,f8_muxes,0
doitgen,futil-sh,f9_muxes,0
doitgen,futil-sh,clb,461
doitgen,futil-sh,meet_timing,1
doitgen,futil-sh,worst_slack,3.082
doitgen,futil-sh,period,7.0
doitgen,futil-sh,frequency,142.857
doitgen,futil-sh,uram,-1
doitgen,futil-sh,cell_lut1,6
doitgen,futil-sh,cell_lut2,93
doitgen,futil-sh,cell_lut3,69
doitgen,futil-sh,cell_lut4,25
doitgen,futil-sh,cell_lut5,73
doitgen,futil-sh,cell_lut6,109
doitgen,futil-sh,cell_fdre,150
durbin,futil-sh,lut,629
durbin,futil-sh,dsp,3
durbin,futil-sh,registers,49
durbin,futil-sh,muxes,46
durbin,futil-sh,clb_registers,372
durbin,futil-sh,carry8,20
durbin,futil-sh,f7_muxes,0
durbin,futil-sh,f8_muxes,0
durbin,futil-sh,f9_muxes,0
