benchmark,type,key,value
gemm,futil,latency,9265
trmm,futil,latency,5255
3mm,futil,latency,17487
mvt,futil,latency,1861
lu,futil,latency,3191
doitgen,futil,latency,49479
syrk,futil,latency,12075
ludcmp,futil,latency,4203
durbin,futil,latency,905
symm,futil,latency,9721
bicg,futil,latency,1083
trisolv,futil,latency,460
gemver,futil,latency,3719
2mm,futil,latency,15571
syr2k,futil,latency,17183
atax,futil,latency,2255
cholesky,futil,latency,2514
gesummv,futil,latency,2209
gramschmidt,futil,latency,18613
